season,match_week,date,home_team,away_team,home_goals,away_goals,result,HomeTeamPoints,AwayTeamPoints,home_win_form,home_draw_form,home_loss_form,away_win_form,away_draw_form,away_loss_form,home_position,away_position,home_points,away_points,position_gap,points_gap,month,month_sin,month_cos,home_team_label,away_team_label,h2h_home_wins,h2h_draws,h2h_away_wins,home_avg_h2h_goals,away_avg_h2h_goals,home_team_goals_for,home_team_goals_against,home_team_goal_diff,away_team_goals_for,away_team_goals_against,away_team_goal_diff,month_year
1995-1996,1,1995-08-19,Aston Villa,Man United,3,1,H,3,0,0,0,0,0,0,0,2,11,0,0,9,0,August,-0.8660254037844384,-0.5000000000000004,1,28,0,0,0,0.0,0.0,0,0,0,0,0,0,"August, 1995"
1995-1996,1,1995-08-19,Blackburn,QPR,1,0,H,3,0,0,0,0,0,0,0,3,14,0,0,11,0,August,-0.8660254037844384,-0.5000000000000004,4,34,0,0,0,0.0,0.0,0,0,0,0,0,0,"August, 1995"
1995-1996,1,1995-08-19,Chelsea,Everton,0,0,D,1,1,0,0,0,0,0,0,5,7,0,0,2,0,August,-0.8660254037844384,-0.5000000000000004,14,18,0,0,0,0.0,0.0,0,0,0,0,0,0,"August, 1995"
1995-1996,1,1995-08-19,Liverpool,Sheffield Weds,1,0,H,3,0,0,0,0,0,0,0,9,14,0,0,5,0,August,-0.8660254037844384,-0.5000000000000004,25,37,0,0,0,0.0,0.0,0,0,0,0,0,0,"August, 1995"
1995-1996,1,1995-08-19,Man City,Tottenham,1,1,D,1,1,0,0,0,0,0,0,10,15,0,0,5,0,August,-0.8660254037844384,-0.5000000000000004,27,42,0,0,0,0.0,0.0,0,0,0,0,0,0,"August, 1995"
1995-1996,1,1995-08-19,Newcastle,Coventry,3,0,H,3,0,0,0,0,0,0,0,13,10,0,0,3,0,August,-0.8660254037844384,-0.5000000000000004,30,15,0,0,0,0.0,0.0,0,0,0,0,0,0,"August, 1995"
1995-1996,1,1995-08-19,Southampton,Nott'm Forest,3,4,A,0,3,0,0,0,0,0,0,14,13,0,0,1,0,August,-0.8660254037844384,-0.5000000000000004,38,32,0,0,0,0.0,0.0,0,0,0,0,0,0,"August, 1995"
1995-1996,1,1995-08-19,West Ham,Leeds,1,2,A,0,3,0,0,0,0,0,0,14,12,0,0,2,0,August,-0.8660254037844384,-0.5000000000000004,45,23,0,0,0,0.0,0.0,0,0,0,0,0,0,"August, 1995"
1995-1996,1,1995-08-19,Wimbledon,Bolton,3,2,H,3,0,0,0,0,0,0,0,14,12,0,0,2,0,August,-0.8660254037844384,-0.5000000000000004,47,6,0,0,0,0.0,0.0,0,0,0,0,0,0,"August, 1995"
1995-1996,1,1995-08-20,Arsenal,Middlesbrough,1,1,D,1,1,0,0,0,0,0,0,12,13,0,0,1,0,August,-0.8660254037844384,-0.5000000000000004,0,29,0,0,0,0.0,0.0,0,0,0,0,0,0,"August, 1995"
1995-1996,1,1995-08-21,Leeds,Liverpool,1,0,H,3,0,1,0,0,1,0,0,5,7,3,3,2,0,August,-0.8660254037844384,-0.5000000000000004,23,25,0,0,0,0.0,0.0,2,1,1,1,0,1,"August, 1995"
1995-1996,1,1995-08-22,Bolton,Newcastle,1,3,A,0,3,0,0,1,1,0,0,15,2,0,3,13,3,August,-0.8660254037844384,-0.5000000000000004,6,30,0,0,0,0.0,0.0,2,3,-1,3,0,3,"August, 1995"
1995-1996,1,1995-08-23,Coventry,Man City,2,1,H,3,0,0,0,1,0,1,0,20,9,0,1,11,1,August,-0.8660254037844384,-0.5000000000000004,15,27,0,0,0,0.0,0.0,0,3,-3,1,1,0,"August, 1995"
1995-1996,1,1995-08-23,Everton,Arsenal,0,2,A,0,3,0,1,0,0,1,0,13,9,1,1,4,0,August,-0.8660254037844384,-0.5000000000000004,18,0,0,0,0,0.0,0.0,0,0,0,1,1,0,"August, 1995"
1995-1996,1,1995-08-23,Man United,West Ham,2,1,H,3,0,0,0,1,0,0,1,19,16,0,0,3,0,August,-0.8660254037844384,-0.5000000000000004,28,45,0,0,0,0.0,0.0,1,3,-2,1,2,-1,"August, 1995"
1995-1996,1,1995-08-23,Nott'm Forest,Chelsea,0,0,D,1,1,1,0,0,0,1,0,5,13,3,1,8,2,August,-0.8660254037844384,-0.5000000000000004,32,14,0,0,0,0.0,0.0,4,3,1,0,0,0,"August, 1995"
1995-1996,1,1995-08-23,QPR,Wimbledon,0,3,A,0,3,0,0,1,1,0,0,17,6,0,3,11,3,August,-0.8660254037844384,-0.5000000000000004,34,47,0,0,0,0.0,0.0,0,1,-1,3,2,1,"August, 1995"
1995-1996,1,1995-08-23,Sheffield Weds,Blackburn,2,1,H,3,0,0,0,1,1,0,0,17,7,0,3,10,3,August,-0.8660254037844384,-0.5000000000000004,37,4,0,0,0,0.0,0.0,0,1,-1,1,0,1,"August, 1995"
1995-1996,1,1995-08-23,Tottenham,Aston Villa,0,1,A,0,3,0,1,0,1,0,0,14,6,1,3,8,2,August,-0.8660254037844384,-0.5000000000000004,42,1,0,0,0,0.0,0.0,1,1,0,3,1,2,"August, 1995"
1995-1996,2,1995-08-26,Tottenham,Liverpool,1,3,A,0,3,0,1,1,1,0,1,17,12,1,3,5,2,August,-0.8660254037844384,-0.5000000000000004,42,25,0,0,0,0.0,0.0,1,2,-1,1,1,0,"August, 1995"
1995-1996,2,1995-08-26,QPR,Man City,1,0,H,3,0,0,0,2,0,1,1,20,16,0,1,4,1,August,-0.8660254037844384,-0.5000000000000004,34,27,0,0,0,0.0,0.0,0,4,-4,2,3,-1,"August, 1995"
1995-1996,2,1995-08-26,Nott'm Forest,West Ham,1,1,D,1,1,1,1,0,0,0,2,8,18,4,0,10,4,August,-0.8660254037844384,-0.5000000000000004,32,45,0,0,0,0.0,0.0,4,3,1,2,4,-2,"August, 1995"
1995-1996,2,1995-08-26,Middlesbrough,Chelsea,2,0,H,3,0,0,1,0,0,2,0,15,14,1,2,1,1,August,-0.8660254037844384,-0.5000000000000004,29,14,0,0,0,0.0,0.0,1,1,0,0,0,0,"August, 1995"
1995-1996,2,1995-08-26,Everton,Southampton,2,0,H,3,0,0,1,1,0,0,1,17,18,1,0,1,1,August,-0.8660254037844384,-0.5000000000000004,18,38,0,0,0,0.0,0.0,0,2,-2,3,4,-1,"August, 1995"
1995-1996,2,1995-08-26,Leeds,Aston Villa,2,0,H,3,0,2,0,0,2,0,0,4,3,6,6,1,0,August,-0.8660254037844384,-0.5000000000000004,23,1,0,0,0,0.0,0.0,3,1,2,4,1,3,"August, 1995"
1995-1996,2,1995-08-26,Coventry,Arsenal,0,0,D,1,1,1,0,1,1,1,0,12,5,3,4,7,1,August,-0.8660254037844384,-0.5000000000000004,15,0,0,0,0,0.0,0.0,2,4,-2,3,1,2,"August, 1995"
1995-1996,2,1995-08-26,Bolton,Blackburn,2,1,H,3,0,0,0,2,1,0,1,19,7,0,3,12,3,August,-0.8660254037844384,-0.5000000000000004,6,4,0,0,0,0.0,0.0,3,6,-3,2,2,0,"August, 1995"
1995-1996,2,1995-08-26,Man United,Wimbledon,3,1,H,3,0,1,0,1,2,0,0,12,3,3,6,9,3,August,-0.8660254037844384,-0.5000000000000004,28,47,0,0,0,0.0,0.0,3,4,-1,6,2,4,"August, 1995"
1995-1996,2,1995-08-27,Sheffield Weds,Newcastle,0,2,A,0,3,1,0,1,2,0,0,12,2,3,6,10,3,August,-0.8660254037844384,-0.5000000000000004,37,30,0,0,0,0.0,0.0,2,2,0,6,1,5,"August, 1995"
1995-1996,2,1995-08-28,Blackburn,Man United,1,2,A,0,3,1,0,2,2,0,1,12,5,3,6,7,3,August,-0.8660254037844384,-0.5000000000000004,4,28,0,0,0,0.0,0.0,3,4,-1,6,5,1,"August, 1995"
1995-1996,2,1995-08-29,Arsenal,Nott'm Forest,1,1,D,1,1,1,2,0,1,2,0,7,8,5,5,1,0,August,-0.8660254037844384,-0.5000000000000004,0,32,0,0,0,0.0,0.0,3,1,2,5,4,1,"August, 1995"
1995-1996,2,1995-08-30,Wimbledon,Sheffield Weds,2,2,D,1,1,2,0,1,1,0,2,7,14,6,3,7,3,August,-0.8660254037844384,-0.5000000000000004,47,37,0,0,0,0.0,0.0,7,5,2,2,4,-2,"August, 1995"
1995-1996,2,1995-08-30,West Ham,Tottenham,1,1,D,1,1,0,1,2,0,1,2,17,19,1,1,2,0,August,-0.8660254037844384,-0.5000000000000004,45,42,0,0,0,0.0,0.0,3,5,-2,2,5,-3,"August, 1995"
1995-1996,2,1995-08-30,Southampton,Leeds,1,1,D,1,1,0,0,2,3,0,0,20,2,0,9,18,9,August,-0.8660254037844384,-0.5000000000000004,38,23,0,0,0,0.0,0.0,3,6,-3,5,1,4,"August, 1995"
1995-1996,2,1995-08-30,Newcastle,Middlesbrough,1,0,H,3,0,3,0,0,1,1,0,1,11,9,4,10,5,August,-0.8660254037844384,-0.5000000000000004,30,29,0,0,0,0.0,0.0,8,1,7,3,1,2,"August, 1995"
1995-1996,2,1995-08-30,Liverpool,QPR,1,0,H,3,0,2,0,1,1,0,2,7,16,6,3,9,3,August,-0.8660254037844384,-0.5000000000000004,25,34,0,0,0,0.0,0.0,4,2,2,1,4,-3,"August, 1995"
1995-1996,2,1995-08-30,Chelsea,Coventry,2,2,D,1,1,0,2,1,1,1,1,16,11,2,4,5,2,August,-0.8660254037844384,-0.5000000000000004,14,15,0,0,0,0.0,0.0,0,2,-2,2,4,-2,"August, 1995"
1995-1996,2,1995-08-30,Aston Villa,Bolton,1,0,H,3,0,2,0,1,1,0,2,8,12,6,3,4,3,August,-0.8660254037844384,-0.5000000000000004,1,6,0,0,0,0.0,0.0,4,3,1,5,7,-2,"August, 1995"
1995-1996,2,1995-08-30,Man City,Everton,0,2,A,0,3,0,1,2,1,1,1,18,11,1,4,7,3,August,-0.8660254037844384,-0.5000000000000004,27,18,0,0,0,0.0,0.0,2,4,-2,2,2,0,"August, 1995"
1995-1996,3,1995-09-09,Southampton,Newcastle,1,0,H,3,0,0,1,2,4,0,0,19,1,1,12,18,11,September,-1.0,-1.8369701987210287e-16,38,30,0,0,0,0.0,0.0,4,7,-3,9,1,8,"September, 1995"
1995-1996,3,1995-09-09,Wimbledon,Liverpool,1,0,H,3,0,2,1,1,3,0,1,6,5,7,9,1,2,September,-1.0,-1.8369701987210287e-16,47,25,0,0,0,0.0,0.0,9,7,2,5,2,3,"September, 1995"
1995-1996,3,1995-09-09,Tottenham,Leeds,2,1,H,3,0,0,2,2,3,1,0,19,3,2,10,16,8,September,-1.0,-1.8369701987210287e-16,42,23,0,0,0,0.0,0.0,3,6,-3,6,2,4,"September, 1995"
1995-1996,3,1995-09-09,QPR,Sheffield Weds,0,3,A,0,3,1,0,3,1,1,2,16,13,3,4,3,1,September,-1.0,-1.8369701987210287e-16,34,37,0,0,0,0.0,0.0,1,5,-4,4,6,-2,"September, 1995"
1995-1996,3,1995-09-09,Coventry,Nott'm Forest,1,1,D,1,1,1,2,1,1,3,0,11,9,5,6,2,1,September,-1.0,-1.8369701987210287e-16,15,32,0,0,0,0.0,0.0,4,6,-2,6,5,1,"September, 1995"
1995-1996,3,1995-09-09,Everton,Man United,2,3,A,0,3,2,1,1,3,0,1,7,5,7,9,2,2,September,-1.0,-1.8369701987210287e-16,18,28,0,0,0,0.0,0.0,4,2,2,8,6,2,"September, 1995"
1995-1996,3,1995-09-09,Bolton,Middlesbrough,1,1,D,1,1,1,0,3,1,1,1,15,11,3,4,4,1,September,-1.0,-1.8369701987210287e-16,6,29,0,0,0,0.0,0.0,5,8,-3,3,2,1,"September, 1995"
1995-1996,3,1995-09-09,Blackburn,Aston Villa,1,1,D,1,1,1,0,3,3,0,1,13,5,3,9,8,6,September,-1.0,-1.8369701987210287e-16,4,1,0,0,0,0.0,0.0,4,6,-2,5,3,2,"September, 1995"
1995-1996,3,1995-09-10,Man City,Arsenal,0,1,A,0,3,0,1,3,1,3,0,20,10,1,6,10,5,September,-1.0,-1.8369701987210287e-16,27,0,0,0,0,0.0,0.0,2,6,-4,4,2,2,"September, 1995"
1995-1996,3,1995-09-11,West Ham,Chelsea,1,3,A,0,3,0,2,2,0,3,1,19,17,2,3,2,1,September,-1.0,-1.8369701987210287e-16,45,14,0,0,0,0.0,0.0,4,6,-2,2,4,-2,"September, 1995"
1995-1996,3,1995-09-12,Middlesbrough,Southampton,0,0,D,1,1,1,2,1,1,1,2,13,16,5,4,3,1,September,-1.0,-1.8369701987210287e-16,29,38,0,0,0,0.0,0.0,4,3,1,5,7,-2,"September, 1995"
1995-1996,4,1995-09-16,Sheffield Weds,Tottenham,1,3,A,0,3,2,1,2,1,2,2,11,15,7,5,4,2,September,-1.0,-1.8369701987210287e-16,37,42,0,0,0,0.0,0.0,7,6,1,5,7,-2,"September, 1995"
1995-1996,4,1995-09-16,Newcastle,Man City,3,1,H,3,0,4,0,1,0,1,4,3,20,12,1,17,11,September,-1.0,-1.8369701987210287e-16,30,27,0,0,0,0.0,0.0,9,2,7,2,7,-5,"September, 1995"
1995-1996,4,1995-09-16,Middlesbrough,Coventry,2,1,H,3,0,1,3,1,1,3,1,12,13,6,6,1,0,September,-1.0,-1.8369701987210287e-16,29,15,0,0,0,0.0,0.0,4,3,1,5,7,-2,"September, 1995"
