Rank,Team,Points,Wins,Draws,Losses,GF,GA,GD
1,Arsenal,78,23,9,6,68,33,35
2,Man United,77,23,8,7,73,26,47
3,Liverpool,65,18,11,9,68,42,26
4,Chelsea,63,20,3,15,71,43,28
5,Leeds,59,17,8,13,57,46,11
6,Blackburn,58,16,10,12,57,52,5
7,Aston Villa,57,17,6,15,49,48,1
8,West Ham,56,16,8,14,56,57,-1
9,Derby,55,16,7,15,52,49,3
10,Leicester,53,13,14,11,51,41,10
11,Coventry,52,12,16,10,46,44,2
12,Southampton,48,14,6,18,50,55,-5
13,Newcastle,44,11,11,16,35,44,-9
14,Tottenham,44,11,11,16,44,56,-12
15,Wimbledon,44,10,14,14,34,46,-12
16,Sheffield Weds,44,12,8,18,52,67,-15
17,Everton,40,9,13,16,41,56,-15
18,Bolton,40,9,13,16,41,61,-20
19,Barnsley,35,10,5,23,37,82,-45
20,Crystal Palace,33,8,9,21,37,71,-34
